REGIAOSAU,MUNICIPIOS,TRAB_SAUDE,MAIOR_80,ENTRE_75_70,ENTRE_70_74,ENTRE_65_69,ENTRE_60_64,PESSOAS_DEF,INDIGENAS,RIBEIRINHOS,QUILOMBOLA,FOR_SEG_SALV,AG_PRISIONAL,DETENTOS
XINGU,Brasil Novo,216,226,214,324,422,565,556,4,0,0,0,0,0,0
XINGU,Medicilândia,280,254,298,443,690,933,1001,8,0,0,0,0,0,0
XINGU,Pacajá,451,377,428,655,982,1277,1451,6,0,0,0,48,0,0
XINGU,Porto de Moz,380,250,291,322,487,642,1007,6,8,3936,340,4,0,0
XINGU,Senador José Porfírio,183,61,82,136,224,353,535,251,4313,0,13,0,0
XINGU,Uruará,470,344,385,626,834,1167,1519,6,0,0,0,35,0,0
XINGU,Vitória do Xingu,358,128,132,209,284,387,964,4,228,0,0,21,6,381
CARAJÁS,Abel Figueiredo,119,97,101,143,187,232,190,6,0,0,0,10,0,0
CARAJÁS,Bom Jesus do Tocantins,236,199,178,329,437,509,589,507,0,0,0,0,0
CARAJÁS,Brejo Grande do Araguaia,110,110,98,147,232,263,157,0,0,435,7,0,0
CARAJÁS,Breu Branco,506,549,603,913,1361,1688,1665,8,0,0,735,41,0,0
CARAJÁS,Canaã dos Carajás,863,154,199,288,449,648,1276,8,15,0,0,35,0,0
CARAJÁS,Curionópolis,230,323,310,417,610,771,877,8,0,0,0,18,0,0
CARAJÁS,Eldorado do Carajás,264,283,374,600,761,1005,1464,0,0,0,15,0,0
CARAJÁS,Goianésia do Pará,362,276,294,479,792,1051,1014,4,41,0,0,25,0,0
CARAJÁS,Itupiranga,520,470,526,838,1196,1421,2438,6,170,0,0,67,0,0
CARAJÁS,Jacundá,510,556,555,740,1133,1438,2334,37,0,0,33,0,0
CARAJÁS,Marabá,4591,2173,2113,3233,5187,7318,10067,4,0,0,0,2594,35,1014
CARAJÁS,Nova Ipixuna,176,165,213,301,426,547,781,8,0,0,0,5,0,0
CARAJÁS,Novo Repartimento,843,536,649,1041,1509,1891,2161,4,432,0,0,0,0,0
CARAJÁS,Palestina do Pará,112,112,91,170,215,263,408,8,0,0,10,7,0,0
CARAJÁS,Parauapebas,3205,808,855,1486,2466,3794,4213,6,748,0,0,418,6,272
CARAJÁS,Piçarra,137,124,139,245,320,403,476,2,0,0,0,0,0,0
CARAJÁS,Rondon do Pará,514,528,563,833,1257,1664,1846,6,0,0,0,94,0,0
CARAJÁS,São Domingos do Araguaia,284,461,395,592,759,771,888,8,182,0,0,27,0,0
CARAJÁS,São Geraldo do Araguaia,390,351,323,472,666,804,983,2,70,0,0,20,0,0
CARAJÁS,São João do Araguaia,220,185,181,296,400,461,539,6,0,0,0,2,0,0
CARAJÁS,Tucuruí,2281,869,907,1388,2339,3286,3273,2,263,0,0,347,7,505
ARAGUAIA,Água Azul do Norte,191,117,157,251,372,583,558,6,0,0,0,0,0,0
ARAGUAIA,Bannach,90,46,51,87,124,141,55,4,86,0,0,0,0,0
ARAGUAIA,Conceição do Araguaia,1243,836,793,1165,1502,1872,2590,6,0,0,0,161,0,0
ARAGUAIA,Cumaru do Norte,136,35,71,131,227,378,271,8,801,0,0,0,0,0
ARAGUAIA,Floresta do Araguaia,314,199,219,327,446,593,897,4,0,0,0,17,0,0
ARAGUAIA,Ourilândia do Norte,831,166,189,267,413,532,282,774,0,0,116,0,0
ARAGUAIA,Pau D'Arco,143,73,75,103,164,187,252,2,199,0,0,5,0,0
ARAGUAIA,Redenção,1824,969,942,1415,2081,2865,2878,8,50,0,0,172,2,249
ARAGUAIA,Rio Maria,311,222,232,359,512,670,441,0,0,0,0,0,0
ARAGUAIA,Santa Maria das Barreiras,340,209,266,435,720,822,843,2,37,0,0,0,0,0
ARAGUAIA,Santana do Araguaia,413,349,477,772,1098,1761,1650,6,27,0,0,95,0,0
ARAGUAIA,São Félix do Xingu,862,330,479,874,1353,2438,1663,2,1038,2825,0,90,0,0
ARAGUAIA,Sapucaia,107,48,61,98,149,201,144,2,0,0,0,13,0,0
ARAGUAIA,Tucumã,859,301,373,544,864,1173,1267,2,0,0,0,37,0,0
ARAGUAIA,Xinguara,871,418,400,650,990,1294,1207,6,0,0,0,106,0,0
TOCANTINS,Baião,399,398,422,556,889,1197,1375,4,39,0,8332,65,0,0
TOCANTINS,Cametá,1541,1696,1537,2012,2941,3532,5501,2,0,3880,12892,663,3,105
TOCANTINS,Limoeiro do Ajuru,351,286,254,348,501,678,1224,0,1276,0,67,0,0
TOCANTINS,Mocajuba,352,463,377,520,665,805,1383,4,0,0,5780,29,7,80
TOCANTINS,Oeiras do Pará,327,285,288,400,567,601,1330,6,0,0,5064,11,0,0
